"Name","Disc. Date","mmax","R.A.","Dec."
"VVV-WIT-05","2011/08/01","8.1","17:43:05.20","-28:27:39.4"
"SN2011fe","2011/08/24","9.48","14:03:05.711,14:03:05.76,14:03:05.81,14:03:05.80","+54:16:25.22,+54:16:25.32,+54:16:25.4,+54:16:25.39,+54:16:25.3"
"SN2004dj","2004/07/31","11.2","07:37:17.02,07:37:17.044","+65:35:57.8,+65:35:57.80,+65:35:57.84"
"SN2013aa","2013/02/13","11.28","14:32:33.88","-44:13:27.8,-44:13:27.80"
"SN2004et","2004/09/27","11.35","20:35:25.33,20:35:25.360","+60:07:17.7,+60:07:17.69,+60:07:17.74"
"SN2013ej","2013/07/25","11.66","01:36:48.16,01:36:48.192","+15:45:31.0,+15:45:31.00,+15:45:30.96"
"SN2012cg","2012/05/17","11.7","12:27:12.83","+09:25:13.2,+09:25:13.19"
"SN2011ja","2011/12/18","11.7","13:05:11.12,13:05:11.09,13:05:11.11","-49:31:27.0,-49:31:27.1,-49:31:27.01"
"SN2012fr","2012/10/27","11.74","03:33:35.99,03:33:36.288","-36:07:37.7,-36:07:37.70,-36:07:35.04"
"SN2012aw","2012/03/16","11.98","10:43:53.735,10:43:53.752,10:43:53.76,10:43:53.72","+11:40:17.63,+11:40:17.89,+11:40:17.9,+11:40:17.90,+11:40:17.7"
"SN2007it","2007/09/13","12","14:18:25.63,14:18:25.57","-43:22:53.8,-43:22:54.2,-43:22:53.80,-43:22:54.0"
"VVV-WIT-01","2010/03/01","12","16:10:53.45","-51:55:32.4"
"SN2009ip","2009/08/26","12.01","22:23:08.26","-28:56:52.4,-28:56:52.40"
"SN2011dh","2011/06/01","12.06","13:30:05.1055,13:30:05.12,13:30:05.124,13:30:05.04","+47:10:10.922,+47:10:11.3,+47:10:10.81,+47:10:11.301,+47:10:10.92"
"SN2008ax","2008/03/03","12.07","12:30:40.80,12:30:40.8","+41:38:16.1,+41:38:14.5,+41:38:14.50,+41:38:16.08"
"SN2011iv","2011/12/02","12.2","03:38:51.35,03:38:51.34","-35:35:32.0,-35:35:31.99"
"SN2013ct","2013/05/10","12.2","01:12:54.92,01:12:54.97","+00:58:45.7,+00:58:45.70,+00:58:47.0"
"SN2011iy","2011/12/09","12.2","13:08:58.39,13:08:58.38","-15:31:04.1,-15:31:04.12,-15:31:04.0"
"SN2007gr","2007/08/15","12.27","02:43:27.98","+37:20:44.7,+37:20:44.70"
"SN2011by","2011/04/26","12.34","11:55:45.56,11:55:45.6","+55:19:33.8,+55:19:33.24,+55:19:33.82"
"SN2011B","2011/01/07","12.39","08:55:48.10,08:55:48,08:55:48.50","+78:13:01.6,+78:13:00.84,+78:13:02.71,+78:13:02.7"
